Orthogroup	Duplications (all)	Duplications (50% support)
OG0001291	15	15
OG0001292	15	15
OG0001293	15	15
OG0001294	15	15
OG0001295	15	15
OG0001296	15	15
OG0001297	15	15
OG0001298	7	7
OG0001299	7	7
OG0001300	7	7
OG0001301	8	6
OG0001302	2	2
OG0001303	8	8
OG0001304	6	4
OG0001305	7	6
OG0001306	9	9
OG0001307	4	4
OG0001308	8	8
OG0001309	8	8
OG0001310	10	10
OG0001311	8	8
OG0001312	8	8
OG0001313	12	12
OG0001314	7	6
OG0001315	8	8
OG0001316	7	6
OG0001317	8	8
OG0001318	8	8
OG0001319	9	9
OG0001320	7	7
OG0001321	8	8
OG0001322	9	9
OG0001323	8	8
OG0001324	7	6
OG0001325	6	6
OG0001326	8	8
OG0001327	9	9
OG0001328	8	8
OG0001329	8	8
OG0001330	8	8
OG0001331	7	7
OG0001332	8	8
OG0001333	8	8
OG0001334	8	8
OG0001335	8	8
OG0001336	4	4
OG0001337	6	5
OG0001338	7	7
OG0001339	5	3
OG0001340	8	8
OG0001341	8	8
OG0001342	4	4
OG0001343	8	8
OG0001344	7	6
OG0001345	5	2
OG0001346	8	8
OG0001347	7	6
OG0001348	6	5
OG0001349	6	6
OG0001350	9	9
OG0001351	8	8
OG0001352	9	9
OG0001353	8	8
OG0001354	5	5
OG0001355	8	8
OG0001356	4	4
OG0001357	6	5
OG0001358	8	8
OG0001359	8	8
OG0001360	8	8
OG0001361	8	8
OG0001362	7	7
OG0001363	7	6
OG0001364	6	6
OG0001365	8	8
OG0001366	8	8
OG0001367	6	6
OG0001368	8	8
OG0001369	8	8
OG0001370	8	8
OG0001371	9	9
OG0001372	5	5
OG0001373	9	9
OG0001374	8	8
OG0001375	10	10
OG0001376	6	6
OG0001377	8	8
OG0001378	6	5
OG0001379	3	3
OG0001380	8	8
OG0001381	8	8
OG0001382	8	8
OG0001383	9	9
OG0001384	4	4
OG0001385	8	8
OG0001386	8	8
OG0001387	6	6
OG0001388	7	7
